Voter,Gender,Age,County
Brad Toomer,male,56-65,Mountain Farm
Brandon Cornelius,male,56-65,Mountain Farm
Samantha Francis,female,65+,Mountain Farm
Eric Dickerson,male,46-55,Mountain Farm
George Payne,male,46-55,Mountain Farm
Julie Yale,female,65+,Mountain Farm
Kevin Willmore,male,56-65,Mountain Farm
William Fossey,male,46-55,Mountain Farm
Brandon Uttley,male,46-55,Mountain Farm
Shane Mink,male,36-45,Mountain Farm
Mildred Jones,female,36-45,Mountain Farm
Mack Detweiler,male,56-65,Mountain Farm
John Collier,male,36-45,Mountain Farm
Laura Smith,female,46-55,Mountain Farm
Cynthia Ratcliff,female,36-45,Mountain Farm
Demetrius Lau,male,36-45,Mountain Farm
Evette Taylor,female,46-55,Mountain Farm
Morris Sutton,male,56-65,Mountain Farm
Bonnie Hyatt,female,46-55,Black
Herbert Dunn,male,46-55,Black
Tina Aitken,female,46-55,Mountain Farm
Brian Barbieri,male,65+,Mountain Farm
Jamie Mahoney,male,46-55,Mountain Farm
Richard Johnson,male,56-65,Mountain Farm
Frank Neace,male,65+,Mountain Farm
Jessica Canas,female,46-55,Mountain Farm
Johnnie Hearne,male,56-65,Mountain Farm
Desiree Washington,female,65+,Mountain Farm
Zachariah Connell,male,36-45,Mountain Farm
Cierra Lenard,female,56-65,Riverside
Freddie Kelleher,male,46-55,Mountain Farm
Lora Jones,female,36-45,Mountain Farm
Ella Stephenson,female,26-35,Mountain Farm
William Himmons,male,56-65,Mountain Farm
Alfred Wheatley,male,46-55,Mountain Farm
Phyllis Brentson,female,26-35,Mountain Farm
David Kinnard,male,56-65,Mountain Farm
Bernard Custodio,male,46-55,Mountain Farm
Joe Magnuson,male,46-55,Mountain Farm
Donald Bell,male,56-65,Mountain Farm
Janet Murphy,female,46-55,Mountain Farm
Benjamin Bruggeman,male,36-45,Black
Michael Liptrot,male,36-45,Mountain Farm
Debra Taylor,female,36-45,Black
Shawn Allen,female,46-55,Black
Francis Witherspoon,male,46-55,Mountain Farm
Patrica Walp,female,46-55,Mountain Farm
Cecelia Jones,female,65+,Mountain Farm
Dolores Whetzel,female,46-55,Mountain Farm
Veronica Freeman,female,65+,Mountain Farm
Curt Thompson,male,56-65,Mountain Farm
Amy Ruano,female,46-55,Mountain Farm
Edwin Scrivener,male,46-55,Mountain Farm
Michael Stiner,male,56-65,Mountain Farm
Joan Munoz,female,36-45,Mountain Farm
Guillermina Riche,female,46-55,Mountain Farm
Charlotte Jencks,female,46-55,Mountain Farm
Carlos Perry,male,56-65,Mountain Farm
Keith Phillips,male,36-45,Mountain Farm
Jennifer Jones,female,46-55,Riverside
Evan Lassiter,male,46-55,Mountain Farm
Denise Wolfe,female,36-45,Mountain Farm
Edwin Bopp,male,56-65,Mountain Farm
Hugo Pooler,male,36-45,Mountain Farm
Kim Lamb,male,65+,Mountain Farm
Richard Ahlman,male,65+,Mountain Farm
Bradley Woods,male,56-65,Mountain Farm
Tricia Shelby,female,46-55,Mountain Farm
Jeanette Powers,female,46-55,Black
Joseph Smalls,male,56-65,Black
Lucille Galvin,female,46-55,Mountain Farm
Alan Doiron,male,36-45,Mountain Farm
Kenneth Pemberton,male,65+,Mountain Farm
Susan Harstad,female,65+,Mountain Farm
Nicholas Rodriguez,male,36-45,Mountain Farm
Delbert Marshall,male,46-55,Mountain Farm
John Esposito,male,56-65,Mountain Farm
Terry Hicks,male,36-45,Mountain Farm
Jessica Copes,female,56-65,Mountain Farm
Jesus Lee,male,18-25,Mountain Farm
Stacy Carney,male,46-55,Mountain Farm
Michelle Cabrera,female,56-65,Mountain Farm
Charles Parra,male,36-45,Mountain Farm
Christopher Rivera,male,36-45,Mountain Farm
Monica Allen,female,65+,Black
Felipe Chesser,male,46-55,Mountain Farm
Mary Chan,female,46-55,Mountain Farm
Jerri Acosta,female,36-45,Black
George Conner,male,46-55,Bailey
Alonzo Mccary,male,36-45,Mountain Farm
Vivian Gilder,female,56-65,Mountain Farm
Barbara Mittlestadt,female,46-55,Mountain Farm
Steven Williams,male,46-55,Mountain Farm
Margaret Carpenter,female,46-55,Mountain Farm
Mona Davis,female,56-65,Mountain Farm
Gilbert Ko,male,56-65,Mountain Farm
Allen Harren,male,46-55,Mountain Farm
Shannon Lewis,female,26-35,Bailey
Charlotte Graham,female,46-55,Mountain Farm
Myrna Lee,female,56-65,Mountain Farm
Morris Burroughs,male,46-55,Mountain Farm
Mack Edgeworth,male,46-55,Mountain Farm
John Dupree,male,56-65,Mountain Farm
Dee Baker,female,46-55,Mountain Farm
Wilma Thomas,female,56-65,Mountain Farm
Derek Wright,male,46-55,Mountain Farm
Stanley Stafford,male,65+,Mountain Farm
Michelle Brown,female,56-65,Mountain Farm
Natalie Sanchez,female,36-45,Mountain Farm
Roy Perez,male,46-55,Mountain Farm
Janice Gilliam,female,46-55,Mountain Farm
Marcus Henson,male,46-55,Mountain Farm
Jeannine Simpson,female,46-55,Mountain Farm
Sidney Plummer,male,46-55,Black
Roland Wisdom,male,36-45,Bailey
Carl Riley,male,56-65,Mountain Farm
Ann Castro,female,36-45,Mountain Farm
Kimberly Clark,female,46-55,Mountain Farm
Robert Petersen,male,56-65,Mountain Farm
Frances Pruitt,female,26-35,Mountain Farm
Hugh Greene,male,36-45,Mountain Farm
Nicole Thomas,female,56-65,Mountain Farm
Anne Rodriguez,female,46-55,Mountain Farm
Michael Mcclendon,male,46-55,Riverside
James Davenport,male,65+,Mountain Farm
William Taylor,male,46-55,Mountain Farm
Abraham Verrill,male,26-35,Mountain Farm
Christopher Macias,male,46-55,Mountain Farm
Erin Milla,female,65+,Mountain Farm
Millard Keri,male,56-65,Mountain Farm
Kelvin Stumpf,male,36-45,Mountain Farm
Henry Osher,male,56-65,Riverside
Brenda White,female,46-55,Mountain Farm
Richard Carter,male,46-55,Mountain Farm
Mary Chavez,female,65+,Riverside
Mary Merrill,female,56-65,Mountain Farm
Mamie Cooper,female,46-55,Black
Sidney Hargrove,male,46-55,Black
Zane Wade,male,56-65,Mountain Farm
Ila Plant,female,56-65,Mountain Farm
Augustus Taylor,male,56-65,Mountain Farm
Shantell Bailey,female,46-55,Mountain Farm
Michael Akins,male,65+,Mountain Farm
Charles Pinon,male,56-65,Mountain Farm
Cherie Keast,female,56-65,Mountain Farm
Joseph Pedersen,male,65+,Mountain Farm
Leonard Franklin,male,65+,Mountain Farm
Lee Greenawalt,male,36-45,Mountain Farm
Antonia Hall,female,65+,Mountain Farm
Robin Mills,female,46-55,Mountain Farm
Patricia Coates,female,56-65,Mountain Farm
Andrea Coney,female,65+,Mountain Farm
Lula Korn,female,36-45,Mountain Farm
Jamal Grier,male,65+,Mountain Farm
James Harkey,male,65+,Mountain Farm
Katherine Gardner,female,46-55,Mountain Farm
Jenny Schmidt,female,56-65,Black
Charita Aiyer,female,56-65,Riverside
Scott Hernandez,male,36-45,Mountain Farm
Aide Murphy,female,46-55,Mountain Farm
Jonathan Louie,male,56-65,Mountain Farm
Anna Huntzinger,female,46-55,Riverside
Gilbert Zappala,male,36-45,Mountain Farm
Jane Smallidge,female,36-45,Mountain Farm
Roland Gallegos,male,46-55,Riverside
Hattie Bracy,female,56-65,Mountain Farm
Betty Futrell,female,65+,Mountain Farm
Willie Jones,male,46-55,Mountain Farm
Paul Thompson,male,26-35,Mountain Farm
Jacqueline Deshay,female,46-55,Mountain Farm
Cathy Kerns,female,36-45,Riverside
Wilma Davis,female,65+,Mountain Farm
Bernard Everhart,male,46-55,Black
Keith Jones,male,46-55,Mountain Farm
Paul Russell,male,46-55,Mountain Farm
Anthony Burcham,male,56-65,Mountain Farm
James Mclendon,male,46-55,Mountain Farm
Bonnie Smith,female,26-35,Black
Gerald Rivali,male,36-45,Riverside
Colleen Tyler,female,26-35,Mountain Farm
Derek Bartell,male,65+,Mountain Farm
Clara Ching,female,46-55,Mountain Farm
Bryan Rinkel,male,56-65,Mountain Farm
Ashley Vaughn,female,46-55,Riverside
Bradley Henry,male,46-55,Mountain Farm
Patricia Mahoney,female,56-65,Mountain Farm
Paul Chevere,male,65+,Mountain Farm
John Riveroll,male,46-55,Mountain Farm
Jeffrey Pettiford,male,65+,Mountain Farm
Paul Troiano,male,46-55,Mountain Farm
John Bryant,male,46-55,Mountain Farm
Michael Feeney,male,36-45,Mountain Farm
Maria Osborn,female,46-55,Mountain Farm
Brandon Works,male,36-45,Mountain Farm
Raymond Coleman,male,46-55,Mountain Farm
Robert Smith,male,46-55,Bailey
Regina Gering,female,46-55,Mountain Farm
Patrick Shaver,male,46-55,Black
Sherry Irland,female,65+,Riverside
James Mcfarland,male,46-55,Mountain Farm
Vivian Zink,female,65+,Mountain Farm
Ruth Bellamy,female,36-45,Mountain Farm
Heather Sledge,female,36-45,Riverside
Tamara Mcdowell,female,36-45,Riverside
Major Dolan,male,65+,Mountain Farm
Louise Heise,female,36-45,Mountain Farm
Kirby Thomas,male,36-45,Mountain Farm
Gregory Lanier,male,36-45,Mountain Farm
Dana Ragan,female,56-65,Riverside
Clint Pruitt,male,36-45,Mountain Farm
Clarence Asuncion,male,56-65,Mountain Farm
Ronald Spencer,male,46-55,Mountain Farm
Darlene Schille,female,36-45,Mountain Farm
Tonya Ramirez,female,56-65,Black
Willie Rascon,male,36-45,Mountain Farm
Reva Egland,female,36-45,Mountain Farm
Crystal Brooks,female,46-55,Mountain Farm
Jerry Rivers,female,46-55,Black
John Piccolomini,male,56-65,Mountain Farm
Jeffrey Cerza,male,46-55,Riverside
Hollis Snider,male,56-65,Mountain Farm
Christopher Johnson,male,36-45,Mountain Farm
John Johnson,male,56-65,Mountain Farm
Sara Chapen,female,46-55,Mountain Farm
Edgar Kennedy,male,65+,Bailey
Jonathan Johnson,male,65+,Mountain Farm
Dawn Collins,female,36-45,Riverside
Wade Cuellar,male,36-45,Riverside
Katie Orbin,female,46-55,Mountain Farm
Floyd Knecht,male,46-55,Mountain Farm
Lester Lewis,male,46-55,Mountain Farm
Anthony Horton,male,46-55,Mountain Farm
Tonya Simmons,female,36-45,Mountain Farm
Annette Ealy,female,36-45,Bailey
April Angelovich,female,56-65,Mountain Farm
Sandra Reese,female,65+,Mountain Farm
Jose Stephenson,male,46-55,Mountain Farm
William Ballard,male,46-55,Mountain Farm
Franklin Brahm,male,36-45,Mountain Farm
Beverly Crenshaw,female,36-45,Mountain Farm
Romona Hansel,female,46-55,Riverside
Latonia Crawford,female,65+,Riverside
Aubrey Williams,male,65+,Bailey
Joyce Berrios,female,56-65,Mountain Farm
Rosemary Deane,female,46-55,Mountain Farm
Gregory Labruzzo,male,46-55,Mountain Farm
Joseph Harper,male,65+,Mountain Farm
Lynn Sadowski,female,46-55,Mountain Farm
Luann Joiner,female,65+,Mountain Farm
Gilberto Hart,male,56-65,Mountain Farm
John Morrison,male,46-55,Mountain Farm
Cheryl Lucena,female,46-55,Mountain Farm
Patrick Fisher,male,36-45,Mountain Farm
Edward Coyne,male,46-55,Mountain Farm
Jesse Porter,male,56-65,Mountain Farm
Amanda Mckoy,female,26-35,Mountain Farm
Judith Seitz,female,36-45,Riverside
Wayne Foster,male,46-55,Mountain Farm
Robert Brennan,male,36-45,Mountain Farm
Laura Kues,female,56-65,Mountain Farm
Heather Stooks,female,36-45,Black
Dana Clendenin,female,46-55,Mountain Farm
Ira Gatto,male,46-55,Mountain Farm
Margaret Mcguire,female,36-45,Mountain Farm
Michael Furniss,male,36-45,Riverside
Cheyenne Stansbury,female,46-55,Mountain Farm
Gwendolyn Deberry,female,56-65,Mountain Farm
Richard Marlar,male,46-55,Mountain Farm
Sharon Miller,female,46-55,Mountain Farm
Jolynn Conti,female,46-55,Mountain Farm
Margaret Clevenger,female,46-55,Mountain Farm
Cheryl Murphy,female,36-45,Riverside
Edward Mascaro,male,46-55,Mountain Farm
Kenneth Duquette,male,46-55,Mountain Farm
Tamara Sandlin,female,36-45,Mountain Farm
Jonathan Vail,male,46-55,Black
James Gadison,male,36-45,Mountain Farm
Ronald Rodrigue,male,46-55,Mountain Farm
Woodrow Moody,male,46-55,Mountain Farm
Travis Wahlstrom,male,56-65,Mountain Farm
Simone Scarborough,female,65+,Mountain Farm
Jerry Boyd,male,56-65,Mountain Farm
Guadalupe November,male,36-45,Mountain Farm
Laura Nunez,female,56-65,Mountain Farm
Daniel Sipes,male,46-55,Mountain Farm
John Bailey,male,65+,Mountain Farm
Tony Yerkovich,male,36-45,Mountain Farm
Betty Macdonald,female,46-55,Bailey
Delores Walters,female,65+,Mountain Farm
Robert Felix,male,46-55,Mountain Farm
Thomas Moore,male,65+,Mountain Farm
Kevin Vincent,male,36-45,Mountain Farm
Danielle Bruster,female,65+,Mountain Farm
Mary Wedeking,female,46-55,Black
Charles Rivera,male,36-45,Mountain Farm
Refugio Santana,male,36-45,Mountain Farm
Darrell Dicostanzo,male,46-55,Riverside
Walter Cunningham,male,46-55,Mountain Farm
Kimberlee Mcneil,female,46-55,Mountain Farm
Esther Sowers,female,36-45,Black
Danielle Matheny,female,36-45,Black
Bonnie Petrik,female,46-55,Riverside
Charles Files,male,46-55,Riverside
Randall Gerwitz,male,65+,Mountain Farm
Walter Leavitt,male,36-45,Mountain Farm
Martin Butler,male,46-55,Mountain Farm
Alice Powell,female,46-55,Mountain Farm
Mark Jaramillo,male,36-45,Mountain Farm
Seth Banda,male,46-55,Mountain Farm
Jeff Bowers,male,46-55,Mountain Farm
Moses Goris,male,46-55,Mountain Farm
Marc Mccoun,male,46-55,Mountain Farm
Albert Greenan,male,56-65,Mountain Farm
Ronald Bearce,male,36-45,Mountain Farm
Olivia Walton,female,36-45,Mountain Farm
Denise Matthews,female,36-45,Mountain Farm
Andrew Woods,male,65+,Mountain Farm
Kevin Ovington,male,36-45,Mountain Farm
Jeffrey Black,male,36-45,Riverside
Luann Beamon,female,56-65,Mountain Farm
Frances Johnson,female,36-45,Riverside
Jennifer Frazier,female,46-55,Mountain Farm
William Saldana,male,56-65,Mountain Farm
Kathryn Bates,female,65+,Mountain Farm
Meridith Warren,female,56-65,Black
Mary Gonzalez,female,56-65,Mountain Farm
Elizabeth Silva,female,56-65,Mountain Farm
Christopher Gunn,male,65+,Mountain Farm
Karen Yokum,female,56-65,Riverside
Heather Carter,female,46-55,Mountain Farm
Kathy Romine,female,46-55,Mountain Farm
Dennis Duran,male,36-45,Mountain Farm
Kimberly Roseman,female,46-55,Mountain Farm
Olive Childers,female,46-55,Riverside
Roberto Belcher,male,56-65,Black
Ann Osborne,female,46-55,Mountain Farm
Freida Livley,female,36-45,Mountain Farm
Ursula Vasquez,female,56-65,Riverside
Ida Karsten,female,46-55,Mountain Farm
Vicki Bonebright,female,26-35,Mountain Farm
Eric Cady,male,56-65,Black
Christina Robbins,female,36-45,Mountain Farm
Wesley Williams,male,26-35,Riverside
Tressa Leone,female,46-55,Mountain Farm
Herbert Ansbro,male,56-65,Mountain Farm
Marjorie Clevenger,female,46-55,Mountain Farm
Marcia Shafer,female,46-55,Mountain Farm
John Shelton,male,65+,Riverside
Curtis Cull,male,46-55,Mountain Farm
Mary Laney,female,46-55,Mountain Farm
Audrey Mills,female,56-65,Mountain Farm
Barry Tasler,male,46-55,Mountain Farm
William Berganza,male,65+,Mountain Farm
Patrick Reyes,male,56-65,Mountain Farm
Warren Berumen,male,26-35,Mountain Farm
Roy Hale,male,65+,Mountain Farm
Jason Dillow,male,46-55,Mountain Farm
Regina Rapoza,female,46-55,Mountain Farm
Rita Larson,female,36-45,Mountain Farm
Micheal Lafayette,male,46-55,Mountain Farm
Jessica Wilson,female,65+,Mountain Farm
Stephen Hopkins,male,36-45,Mountain Farm
Charles Whittaker,male,65+,Black
Bernice Supernaw,female,26-35,Riverside
Matthew Wright,male,56-65,Mountain Farm
Kathie Jung,female,46-55,Mountain Farm
Darlene Lamb,female,56-65,Mountain Farm
Christopher Edwards,male,46-55,Black
Dane Stewart,male,65+,Mountain Farm
Marvin Saxton,male,65+,Riverside
Charlie Cheeks,female,36-45,Mountain Farm
America Cuomo,female,36-45,Mountain Farm
Bethany Spiller,female,46-55,Mountain Farm
Mary Gonzales,female,65+,Mountain Farm
Mary Oden,female,36-45,Mountain Farm
Eva Walker,female,46-55,Mountain Farm
Fredric Hess,male,56-65,Riverside
Charles Cantrell,male,36-45,Mountain Farm
Fran Dube,female,46-55,Mountain Farm
Jonathan Veasey,male,46-55,Mountain Farm
Jessie Blessing,male,46-55,Mountain Farm
Edward Collins,male,65+,Mountain Farm
John Salas,male,46-55,Mountain Farm
Florence Tilton,female,46-55,Mountain Farm
Carl Cook,male,46-55,Mountain Farm
Joseph Gibbons,male,65+,Mountain Farm
Phyllis Hill,female,46-55,Mountain Farm
Rosie Trujillo,female,56-65,Mountain Farm
Michael Hartman,male,36-45,Mountain Farm
Carole Nielson,female,46-55,Riverside
Maria Pereira,female,65+,Mountain Farm
Diana Mendoza,female,36-45,Mountain Farm
Dennis Sumpter,male,46-55,Mountain Farm
Angel Favors,female,56-65,Mountain Farm
Emilie Brothers,female,65+,Mountain Farm
Rodolfo Tang,male,56-65,Mountain Farm
Donald Kendra,male,36-45,Mountain Farm
Jerry Bass,male,46-55,Mountain Farm
Chase Mathes,male,46-55,Mountain Farm
Joan Schneider,female,18-25,Mountain Farm
Sarah Avila,female,36-45,Mountain Farm
Danielle Shannon,female,56-65,Black
William Miller,male,56-65,Black
Peter Smith,male,26-35,Mountain Farm
Ryan Mckenney,male,56-65,Mountain Farm
Michael Juarez,male,36-45,Mountain Farm
Mary Poole,female,65+,Mountain Farm
Isaac Sterling,male,65+,Mountain Farm
Andrew Young,male,46-55,Riverside
Robert Winograd,male,65+,Mountain Farm
Maria Martin,female,46-55,Mountain Farm
Ruth Ceruantes,female,46-55,Mountain Farm
Gussie Campbell,female,36-45,Mountain Farm
Stephanie Waldron,female,65+,Mountain Farm
Ann Marine,female,36-45,Mountain Farm
Katie Rivera,female,56-65,Mountain Farm
Willie Morales,female,56-65,Mountain Farm
Catrina Beach,female,36-45,Mountain Farm
David Evens,male,36-45,Mountain Farm
Brad Mclean,male,46-55,Mountain Farm
Devin Fowler,male,56-65,Mountain Farm
Mary Donaldson,female,46-55,Mountain Farm
Joshua Greene,male,65+,Riverside
Cassandra Griggs,female,46-55,Mountain Farm
Hugh Harter,male,56-65,Mountain Farm
Geraldine Hays,female,36-45,Mountain Farm
Tracy Gorman,male,46-55,Mountain Farm
John Freeman,male,56-65,Mountain Farm
Cari Lapoint,female,26-35,Mountain Farm
Iris Picking,female,56-65,Mountain Farm
Richard Esquivez,male,56-65,Mountain Farm
James Lapierre,male,46-55,Mountain Farm
Charles Strickland,male,65+,Mountain Farm
Marjorie Carpenter,female,36-45,Mountain Farm
David Salas,male,56-65,Mountain Farm
Rodolfo Clark,male,56-65,Bailey
Ruth Scott,female,56-65,Mountain Farm
Adam Jackson,male,46-55,Mountain Farm
Oscar Beachler,male,46-55,Mountain Farm
Nancy Allen,female,46-55,Mountain Farm
Rodolfo Ford,male,36-45,Mountain Farm
John Hall,male,46-55,Mountain Farm
Royal Plumber,male,36-45,Mountain Farm
Michael Young,male,56-65,Mountain Farm
Russell Black,male,36-45,Mountain Farm
Richard Taggert,male,65+,Mountain Farm
Margaret Cobb,female,56-65,Black
Mary Stinnett,female,46-55,Mountain Farm
Nancy Iverson,female,65+,Mountain Farm
Matthew Doyle,male,46-55,Riverside
Laura Swinney,female,56-65,Mountain Farm
Ronald Gillette,male,36-45,Mountain Farm
Kristal Kershner,female,46-55,Mountain Farm
Lillie Duke,female,65+,Mountain Farm
Sarah Dickison,female,56-65,Mountain Farm
Arnold Lisa,male,46-55,Riverside
Amber Laramee,female,46-55,Mountain Farm
Queen Gormley,female,36-45,Mountain Farm
Janet Huerta,female,46-55,Mountain Farm
James King,male,46-55,Mountain Farm
Wanda Willett,female,56-65,Mountain Farm
Mary Coughlin,female,65+,Mountain Farm
Robert Scales,male,56-65,Mountain Farm
Ashlee Clos,female,56-65,Mountain Farm
John Hudson,male,46-55,Mountain Farm
Madonna Yard,female,46-55,Mountain Farm
Rochelle Weiner,female,46-55,Mountain Farm
Brittany Herrera,female,46-55,Mountain Farm
Rosalie Riddle,female,46-55,Mountain Farm
Arlene Sisk,female,46-55,Mountain Farm
Fernando Mccoy,male,56-65,Mountain Farm
Melissa Cohen,female,46-55,Mountain Farm
Larry Dickerson,male,46-55,Mountain Farm
Kathleen Struebing,female,46-55,Mountain Farm
Deborah Dean,female,56-65,Mountain Farm
Mary Hancock,female,46-55,Mountain Farm
Amy Brown,female,46-55,Riverside
Stephen Pepper,male,46-55,Mountain Farm
Josie Rodarte,female,65+,Bailey
Johnny Cramer,male,36-45,Mountain Farm
Victoria Fisher,female,46-55,Mountain Farm
Kurt Bourgeois,male,65+,Riverside
Mable Dunn,female,46-55,Mountain Farm
Alice Mullett,female,36-45,Bailey
Jeremiah Newell,male,65+,Mountain Farm
Irene Gosz,female,46-55,Mountain Farm
Wilton Chism,male,56-65,Mountain Farm
Byron Strain,male,46-55,Mountain Farm
Jacqueline Mcintosh,female,65+,Mountain Farm
Karla Ford,female,46-55,Mountain Farm
Fay Clark,female,65+,Riverside
Jerry Varella,male,56-65,Black
Abigail Williams,female,36-45,Mountain Farm
Georgia Dowdell,female,46-55,Mountain Farm
Keith Medlin,male,46-55,Riverside
Robert Elder,male,26-35,Mountain Farm
Paula Mackinder,female,46-55,Riverside
Earl Soroka,male,65+,Mountain Farm
Bobby Adams,male,46-55,Mountain Farm
Elly Miller,female,36-45,Mountain Farm
Tarsha Mankel,female,56-65,Black
James Allen,male,65+,Mountain Farm
Larry Turner,male,46-55,Mountain Farm
Michael Reed,male,56-65,Black
Raymond Zaragoza,male,46-55,Riverside
Rodney Vaughn,male,36-45,Mountain Farm
Misty Kim,female,46-55,Mountain Farm
Thelma Matthews,female,36-45,Mountain Farm
Michael Pollock,male,46-55,Mountain Farm
Abby Fowler,female,65+,Mountain Farm
Richard Moody,male,56-65,Riverside
Ruth Mouser,female,46-55,Mountain Farm
Richard Arndt,male,46-55,Mountain Farm
Barbara Logan,female,46-55,Mountain Farm
Daniel Canfield,male,46-55,Mountain Farm
Darrin Cacciatori,male,36-45,Mountain Farm
Alfonso Smith,male,46-55,Mountain Farm
Veronica Mclendon,female,46-55,Mountain Farm
Danny Cook,male,46-55,Riverside
John Morrill,male,65+,Mountain Farm
Janet Burroughs,female,46-55,Mountain Farm
Jesus Buttry,male,46-55,Bailey
Brent Mazon,male,46-55,Mountain Farm
Daniel Burt,male,36-45,Mountain Farm
Richard Russell,male,56-65,Mountain Farm
Zachary Bell,male,46-55,Mountain Farm
Frank Austin,male,46-55,Mountain Farm
Philip Lott,male,26-35,Riverside
Frank Cardenas,male,65+,Mountain Farm
Luann Miller,female,65+,Mountain Farm
Natasha Kingsley,female,65+,Mountain Farm
Linda Barbee,female,46-55,Mountain Farm
Mary Hutson,female,46-55,Mountain Farm
Elizabeth Jones,female,56-65,Mountain Farm
James Gilbert,male,36-45,Mountain Farm
Kevin Scanlan,male,46-55,Mountain Farm
Courtney Bolds,female,65+,Mountain Farm
Sergio Buckley,male,46-55,Mountain Farm
Catherine Rollins,female,36-45,Mountain Farm
Betty Allred,female,36-45,Mountain Farm
Debra Vines,female,46-55,Black
Corey Matusz,male,65+,Mountain Farm
Harold Giffin,male,65+,Black
Roy Mcandrew,male,36-45,Mountain Farm
Florence Young,female,36-45,Mountain Farm
Thomas Devenport,male,56-65,Mountain Farm
Melissa Aguilar,female,46-55,Mountain Farm
Jessica Serbus,female,65+,Mountain Farm
John Boll,male,65+,Mountain Farm
Esther Bequette,female,65+,Mountain Farm
Gregory Gonzales,male,46-55,Riverside
Jason Frazier,male,65+,Mountain Farm
Arthur Rosa,male,56-65,Mountain Farm
Jaime Riley,male,65+,Mountain Farm
Warren Calkins,male,36-45,Riverside
Jack Moore,male,36-45,Mountain Farm
Clifford Baker,male,65+,Mountain Farm
Richard Jones,male,65+,Mountain Farm
Dennis Dense,male,36-45,Mountain Farm
Steven Garcia,male,56-65,Mountain Farm
Darcy Summerlin,female,46-55,Bailey
Carlos Horton,male,46-55,Mountain Farm
Frank Quezad,male,46-55,Mountain Farm
James Galindo,male,56-65,Mountain Farm
Lynn Williams,male,56-65,Mountain Farm
Stacey Roth,female,65+,Bailey
Kenneth Taylor,male,65+,Riverside
Pamela Rabito,female,36-45,Mountain Farm
Herman Rhodes,male,46-55,Mountain Farm
Andrea Herrera,male,65+,Riverside
Karen Wilson,female,65+,Mountain Farm
Erin Watkins,female,36-45,Mountain Farm
Dorothea Wescott,female,46-55,Mountain Farm
Arthur Miles,male,65+,Mountain Farm
Tami Perez,female,46-55,Mountain Farm
Kevin Visvardis,male,46-55,Mountain Farm
Jennifer Virgil,female,18-25,Mountain Farm
Drusilla Moran,female,36-45,Mountain Farm
Kenneth Folsom,male,56-65,Mountain Farm
Hubert Viveros,male,65+,Mountain Farm
Brittany Johnson,female,46-55,Mountain Farm
Christie Glass,female,26-35,Mountain Farm
Hal Simpson,male,56-65,Mountain Farm
Donald Davis,male,36-45,Mountain Farm
Anne Parker,female,46-55,Bailey
Janice Rinehart,female,36-45,Riverside
Jeannie Costley,female,56-65,Mountain Farm
Emma Beck,female,36-45,Mountain Farm
Roland Williams,male,36-45,Mountain Farm
Lydia Reynolds,female,46-55,Mountain Farm
Rafael Dodgen,male,36-45,Mountain Farm
Billy Goldstein,male,46-55,Mountain Farm
Carol Campbell,female,56-65,Mountain Farm
Joseph Facundo,male,46-55,Mountain Farm
Adam Morales,male,46-55,Mountain Farm
John Brown,male,46-55,Mountain Farm
Charles Snow,male,46-55,Mountain Farm
Jennifer Titus,female,56-65,Mountain Farm
Hector Hill,male,56-65,Mountain Farm
Robert Miller,male,46-55,Mountain Farm
James Mervis,male,46-55,Mountain Farm
Elliot Chapman,male,46-55,Mountain Farm
Jeffrey Henderson,male,36-45,Riverside
Brenda Scott,female,18-25,Mountain Farm
Fred Paige,male,56-65,Mountain Farm
Marian Favila,female,46-55,Black
Cassandra Rauser,female,65+,Black
Dennis Griffin,male,56-65,Mountain Farm
John Woodruff,male,36-45,Bailey
Michael Norris,male,65+,Riverside
Seth Robey,male,26-35,Mountain Farm
Fransisca Sault,female,56-65,Mountain Farm
Randy Simms,male,36-45,Riverside
John Johnson,male,56-65,Mountain Farm
Lisa Jones,female,65+,Mountain Farm
Michael Burrell,male,36-45,Black
Michelle Nguyen,female,65+,Mountain Farm
Julio Monfort,male,46-55,Mountain Farm
Dion Darling,male,46-55,Mountain Farm
Richard Veith,male,46-55,Riverside
Mildred Rivera,female,56-65,Mountain Farm
Patricia Bradshaw,female,26-35,Riverside
Steven Baker,male,65+,Mountain Farm
John Schlesser,male,46-55,Mountain Farm
John Allen,male,56-65,Black
Lisa Mccormick,female,65+,Bailey
June Jones,female,26-35,Riverside
Aaron Farnsworth,male,65+,Riverside
Eula Bailey,female,36-45,Mountain Farm
Virginia Alvarez,female,46-55,Mountain Farm
Tracie Brooks,female,46-55,Mountain Farm
Lorraine Malina,female,46-55,Mountain Farm
Michael Campbell,male,65+,Mountain Farm
Louis Reid,male,46-55,Mountain Farm
Christopher Crowe,male,65+,Mountain Farm
Shirley Lorraine,female,36-45,Mountain Farm
Louise Melendez,female,36-45,Mountain Farm
Jessica Shook,female,46-55,Mountain Farm
Matthew Hill,male,46-55,Mountain Farm
Phillip Dugger,male,56-65,Riverside
Jimmy Futrell,male,46-55,Mountain Farm
Elizabeth Bickel,female,46-55,Bailey
Herbert Vaughn,male,56-65,Black
Marshall Bulle,male,46-55,Mountain Farm
Donald Allison,male,46-55,Mountain Farm
Martha Cardona,female,46-55,Mountain Farm
Mary Ward,female,46-55,Mountain Farm
Aaron Larkin,male,65+,Riverside
Lane Gonzales,female,65+,Riverside
