Voter,Gender,Age,Shares
Catrina Beach,female,26-35,1
David Evens,male,36-45,4
Brad Mclean,male,46-55,1
Devin Fowler,male,36-45,1
Mary Donaldson,female,36-45,2
Joshua Greene,male,36-45,1
Cassandra Griggs,female,46-55,4
Hugh Harter,male,46-55,2
Geraldine Hays,female,26-35,1
Tracy Gorman,male,56-65,1
John Freeman,male,56-65,1
Cari Lapoint,female,46-55,1
Iris Picking,female,36-45,2
Richard Esquivez,male,46-55,38
James Lapierre,male,36-45,1
Charles Strickland,male,56-65,1
Marjorie Carpenter,female,46-55,1
David Salas,male,46-55,1
Rodolfo Clark,male,46-55,1
Ruth Scott,female,56-65,1
Adam Jackson,male,46-55,1
Oscar Beachler,male,46-55,1
Nancy Allen,female,46-55,1
Rodolfo Ford,male,46-55,1
John Hall,male,46-55,1
Royal Plumber,male,65+,3
Michael Young,male,46-55,1
Russell Black,male,46-55,1
Richard Taggert,male,36-45,1
Margaret Cobb,female,65+,6
Mary Stinnett,female,65+,1
Nancy Iverson,female,36-45,1
Matthew Doyle,male,56-65,1
Laura Swinney,female,46-55,3
Ronald Gillette,male,36-45,1
Kristal Kershner,female,46-55,1
Lillie Duke,female,56-65,1
Sarah Dickison,female,36-45,1
Arnold Lisa,male,46-55,1
Amber Laramee,female,65+,1
Queen Gormley,female,56-65,1
Janet Huerta,female,36-45,1
James King,male,65+,1
Wanda Willett,female,46-55,1
Mary Coughlin,female,46-55,1
Robert Scales,male,56-65,2
Ashlee Clos,female,46-55,1
John Hudson,male,46-55,1
Madonna Yard,female,65+,1
Rochelle Weiner,female,56-65,1
Brittany Herrera,female,36-45,1
Rosalie Riddle,female,65+,1
Arlene Sisk,female,56-65,1
Fernando Mccoy,male,36-45,1
Melissa Cohen,female,65+,1
Larry Dickerson,male,65+,1
Kathleen Struebing,female,56-65,1
Deborah Dean,female,36-45,3
Mary Hancock,female,26-35,1
Amy Brown,female,46-55,1
Stephen Pepper,male,46-55,1
Josie Rodarte,female,56-65,3
Johnny Cramer,male,36-45,1
Victoria Fisher,female,36-45,2
Kurt Bourgeois,male,46-55,1
Mable Dunn,female,46-55,1
Alice Mullett,female,46-55,1
Jeremiah Newell,male,36-45,1
Irene Gosz,female,46-55,1
Wilton Chism,male,65+,1
Byron Strain,male,36-45,1
Jacqueline Mcintosh,female,46-55,2
Karla Ford,female,46-55,3
Fay Clark,female,56-65,1
Jerry Varella,male,46-55,1
Abigail Williams,female,36-45,1
Georgia Dowdell,female,46-55,1
Keith Medlin,male,36-45,1
Robert Elder,male,46-55,2
Paula Mackinder,female,65+,2
Earl Soroka,male,46-55,1
Bobby Adams,male,56-65,1
Elly Miller,female,36-45,1
Tarsha Mankel,female,36-45,3
James Allen,male,46-55,1
Larry Turner,male,46-55,1
Michael Reed,male,46-55,1
Raymond Zaragoza,male,46-55,1
Rodney Vaughn,male,65+,3
Misty Kim,female,65+,1
Thelma Matthews,female,56-65,1
Michael Pollock,male,46-55,8
Abby Fowler,female,65+,2
Richard Moody,male,56-65,2
Ruth Mouser,female,46-55,1
Richard Arndt,male,56-65,1
Barbara Logan,female,56-65,1
Daniel Canfield,male,46-55,1
Darrin Cacciatori,male,46-55,2
Alfonso Smith,male,65+,1
Veronica Mclendon,female,36-45,1
Danny Cook,male,46-55,1
John Morrill,male,56-65,1
Janet Burroughs,female,65+,1
Jesus Buttry,male,46-55,1
Brent Mazon,male,46-55,8
Daniel Burt,male,36-45,1
Richard Russell,male,18-25,3
Zachary Bell,male,36-45,1
Frank Austin,male,36-45,1
Philip Lott,male,46-55,1
Frank Cardenas,male,46-55,1
Luann Miller,female,56-65,1
Natasha Kingsley,female,46-55,1
Linda Barbee,female,36-45,1
Mary Hutson,female,36-45,1
Elizabeth Jones,female,46-55,2
James Gilbert,male,46-55,3
Kevin Scanlan,male,46-55,1
Courtney Bolds,female,46-55,1
Sergio Buckley,male,46-55,1
Catherine Rollins,female,56-65,1
Betty Allred,female,65+,1
Debra Vines,female,36-45,1
Corey Matusz,male,56-65,1
Harold Giffin,male,36-45,1
Roy Mcandrew,male,46-55,1
Florence Young,female,46-55,1
Thomas Devenport,male,36-45,3
Melissa Aguilar,female,56-65,1
Jessica Serbus,female,56-65,1
John Boll,male,46-55,1
Esther Bequette,female,56-65,1
Gregory Gonzales,male,65+,19
Jason Frazier,male,65+,1
Arthur Rosa,male,56-65,1
Jaime Riley,male,56-65,2
Warren Calkins,male,36-45,13
Jack Moore,male,36-45,2
Clifford Baker,male,46-55,1
Richard Jones,male,36-45,1
Dennis Dense,male,56-65,1
Steven Garcia,male,46-55,1
Darcy Summerlin,female,36-45,1
Carlos Horton,male,46-55,1
Frank Quezad,male,46-55,1
James Galindo,male,36-45,1
Lynn Williams,male,65+,1
Stacey Roth,female,46-55,1
Kenneth Taylor,male,46-55,1
Pamela Rabito,female,56-65,2
Herman Rhodes,male,46-55,1
Andrea Herrera,male,56-65,13
Karen Wilson,female,46-55,1
Erin Watkins,female,36-45,1
Dorothea Wescott,female,65+,1
Arthur Miles,male,56-65,2
Tami Perez,female,46-55,1
Kevin Visvardis,male,36-45,1
Jennifer Virgil,female,56-65,7
Drusilla Moran,female,36-45,1
Kenneth Folsom,male,65+,2
Hubert Viveros,male,46-55,1
Brittany Johnson,female,36-45,1
Christie Glass,female,46-55,1
Hal Simpson,male,46-55,1
Donald Davis,male,56-65,2
Anne Parker,female,65+,1
Janice Rinehart,female,56-65,1
Jeannie Costley,female,56-65,1
Emma Beck,female,65+,1
Roland Williams,male,36-45,1
Lydia Reynolds,female,46-55,1
Rafael Dodgen,male,56-65,1
Billy Goldstein,male,56-65,1
Carol Campbell,female,46-55,1
Joseph Facundo,male,65+,1
Adam Morales,male,46-55,1
John Brown,male,46-55,1
Charles Snow,male,46-55,1
Jennifer Titus,female,46-55,1
Hector Hill,male,46-55,1
Robert Miller,male,36-45,5
James Mervis,male,46-55,1
Elliot Chapman,male,46-55,4
Jeffrey Henderson,male,46-55,2
Brenda Scott,female,65+,1
Fred Paige,male,36-45,1
Marian Favila,female,65+,1
Cassandra Rauser,female,46-55,1
Dennis Griffin,male,18-25,1
John Woodruff,male,65+,2
Michael Norris,male,36-45,1
Seth Robey,male,46-55,1
Fransisca Sault,female,46-55,4
Randy Simms,male,46-55,1
John Johnson,male,65+,2
Lisa Jones,female,46-55,1
Michael Burrell,male,36-45,1
Michelle Nguyen,female,36-45,1
Julio Monfort,male,36-45,1
Dion Darling,male,46-55,1
Richard Veith,male,46-55,1
Mildred Rivera,female,36-45,1
Patricia Bradshaw,female,46-55,1
Steven Baker,male,46-55,1
John Schlesser,male,56-65,1
John Allen,male,46-55,1
Lisa Mccormick,female,46-55,1
June Jones,female,46-55,1
Aaron Farnsworth,male,65+,1
Eula Bailey,female,36-45,1
Virginia Alvarez,female,46-55,1
Tracie Brooks,female,46-55,1
Lorraine Malina,female,46-55,1
Michael Campbell,male,36-45,1
Louis Reid,male,46-55,1
Christopher Crowe,male,46-55,1
Shirley Lorraine,female,46-55,2
Louise Melendez,female,46-55,5
Jessica Shook,female,46-55,1
Matthew Hill,male,65+,1
Phillip Dugger,male,36-45,4
Jimmy Futrell,male,46-55,2
Elizabeth Bickel,female,36-45,1
Herbert Vaughn,male,46-55,1
Marshall Bulle,male,36-45,1
Donald Allison,male,56-65,1
Martha Cardona,female,36-45,3
Mary Ward,female,46-55,1
Aaron Larkin,male,36-45,1
Lane Gonzales,female,56-65,1
Jerome Hickey,male,65+,1
Ella Policare,female,46-55,2
Joanne Poteete,female,56-65,1
Margaret Torres,female,65+,2
Jimmy Mattern,male,46-55,1
Theresa Perez,female,36-45,1
Dollie Bradshaw,female,36-45,2
Marion Kirkpatrick,female,46-55,1
Debra Gonzales,female,46-55,1
Colleen Silva,female,65+,7
Jay Chipman,male,46-55,1
Leona Roll,female,36-45,2
Charles Hupper,male,36-45,1
Robert Worley,male,46-55,3
Tara Young,female,65+,1
Charles Guzman,male,46-55,2
Katherine Terry,female,46-55,1
Edward Justis,male,46-55,2
Kristen Wendt,female,46-55,2
Denise Nicholson,female,56-65,6
Cynthia Barredo,female,56-65,1
Ernesto Divine,male,46-55,1
Nova Miller,female,36-45,2
Steven Wayne,male,56-65,1
Glenn Putman,male,56-65,1
Emmanuel Cole,male,56-65,1
Robert Childers,male,46-55,1
Hector Blake,male,65+,1
Sharon Shumpert,female,46-55,1
Daniel Drewes,male,46-55,1
Keisha Gahagan,female,46-55,1
Lelah Kingston,female,46-55,4
Rubin Rice,male,65+,3
Daniel Hursey,male,46-55,1
Carol West,female,36-45,2
Jason Schneider,male,26-35,2
Delores Gillick,female,65+,1
Brenda Aguirre,female,65+,1
Amelia Brown,female,65+,2
Stella Stokes,female,46-55,1
Calvin Davidson,male,36-45,1
Faith James,female,65+,1
Alicia Murphy,female,65+,1
Alfonso Lopez,male,65+,1
Jeff Apodaca,male,56-65,2
Patricia Musgrove,female,65+,3
Daniel Nesbitt,male,56-65,4
Robert Dooling,male,65+,8
Jasper Yamaguchi,male,56-65,1
Joshua Wade,male,65+,2
Jennifer Hall,female,56-65,1
Thomas Hickman,male,46-55,1
Fred Carolina,male,46-55,1
Jonathan Turner,male,46-55,1
Ella Rayo,female,46-55,2
Donna Mast,female,46-55,1
Dennis Richardson,male,36-45,1
Andrew Branchaud,male,46-55,1
Dean Reising,male,65+,1
George Greene,male,56-65,3
Tony Crom,male,46-55,1
Joshua Darby,male,46-55,2
Dean Charles,male,46-55,1
Anthony Chatman,male,56-65,2
Robert Surratt,male,46-55,1
James Blubaugh,male,65+,1
Steven Turner,male,36-45,1
Margaret Stimpson,female,46-55,1
Diana Carlson,female,65+,1
Thomas Malone,male,46-55,1
Bruce Bowden,male,26-35,1
Crystal Mason,female,46-55,1
Willie Williamson,female,56-65,1
David Grant,male,46-55,3
Debra Hall,female,46-55,1
Richard Anderson,male,36-45,2
Ethel Davis,female,65+,1
Rita Bellerose,female,65+,2
Curtis Long,male,56-65,1
Norene Bouley,female,36-45,1
Mary Domina,female,36-45,1
Linda Ruda,female,36-45,1
Richard Hampton,male,46-55,2
Rachel Heidler,female,56-65,1
Jacob Steeley,male,65+,1
Pattie Mcneil,female,46-55,1
Darren Jewell,male,65+,1
Marilyn Mateo,female,46-55,1
Theresa Arend,female,65+,1
Maribeth Reutzel,female,65+,1
Roy Klos,male,46-55,4
Bobby Truong,male,56-65,14
Miranda Sager,female,46-55,5
Larry Griffin,male,56-65,1
Larry Kling,male,56-65,1
Raymond Smith,male,46-55,1
Emily Brown,female,65+,2
Dustin Kragt,male,46-55,1
Jeanette Lim,female,56-65,2
Lee Hodes,female,65+,1
Barbara Thomas,female,36-45,1
David Carpenter,male,36-45,1
Robert Kaltz,male,46-55,12
Donald Perkins,male,46-55,1
Felipa Johnson,female,36-45,1
Joseph Sweeney,male,65+,1
Geraldine Silverman,female,36-45,1
Jennifer Spradling,female,36-45,60
Dustin Deperro,male,46-55,3
Josephine Vicini,female,46-55,1
Leann Osborn,female,46-55,4
William Fowler,male,46-55,1
Vera Moore,female,56-65,1
Frank Iannone,male,65+,1
Jacquelyn Terhune,female,65+,1
Zachary Hickey,male,46-55,1
Mildred Weeden,female,46-55,1
Robert Solorio,male,65+,1
Huong Collier,female,65+,1
Jose Washington,male,56-65,2
Margie Holden,female,46-55,1
Brian Destefano,male,46-55,1
Carolyn Polich,female,46-55,1
Dominick Burns,male,56-65,1
Earl Queja,male,36-45,1
Paul Meskill,male,36-45,1
Donna Brown,female,65+,1
Imelda Steen,female,56-65,3
Patricia Barnes,female,46-55,7
Clarence Davis,male,65+,1
Lonnie Colon,male,65+,2
Cynthia Adams,female,56-65,1
Leonard Marrero,male,46-55,1
Betty Williams,female,46-55,2
Michael Pigford,male,46-55,1
Allison Clayton,female,36-45,1
Greg Leal,male,36-45,4
Raymond Arendt,male,36-45,1
Wallace Dougherty,male,56-65,1
Karen Gragg,female,36-45,1
Gloria Beck,female,56-65,1
Richard Wingate,male,56-65,1
Mary Dufilho,female,46-55,1
Kimberly Lyons,female,65+,1
Jerry Richard,male,36-45,2
Matthew Jackson,male,46-55,1
James Hughes,male,46-55,1
Donald Paige,male,46-55,1
Alex Davenport,male,56-65,2
Jody Harris,male,46-55,1
Steve Jackson,male,26-35,3
Daniel Gaudet,male,36-45,1
Bertha Brandenburg,female,65+,1
Cora Cordray,female,26-35,1
Jeanne Bickford,female,56-65,2
Christopher Ruiz,male,46-55,1
Patricia Farmer,female,36-45,1
Brian Salvatierra,male,56-65,1
Darrell Newyear,male,56-65,1
Cathy Bailey,female,36-45,1
Scott Dunlap,male,36-45,2
Cecil Creed,male,46-55,1
Karen Andrews,female,46-55,1
Philip Phillips,male,56-65,3
Thomas Wai,male,46-55,3
David Read,male,65+,1
Augustine Verdejo,male,56-65,2
Johnny Moran,male,65+,2
Edward Todd,male,56-65,1
Joe Mendoza,male,36-45,1
Debora Glueck,female,36-45,1
Daniel Greenan,male,46-55,2
Sandra Neubauer,female,36-45,1
Nolan Minge,male,46-55,1
Stephan Williams,male,46-55,1
Darrell Carpenter,male,65+,1
Theresa Malady,female,36-45,1
Virginia Kenner,female,46-55,1
Margaret Gibbs,female,65+,2
Ryan Lansberry,male,46-55,1
Lynn Mchale,female,46-55,1
Melissa Johnson,female,46-55,2
Kyle Bowyer,male,46-55,1
Teresa Mcglothian,female,65+,1
Teresa Sprague,female,26-35,2
Diane Rush,female,65+,1
Joseph Ott,male,56-65,1
Daniel Garcia,male,18-25,1
Elisha Parker,female,56-65,7
Rita Breece,female,65+,1
William Bradley,male,65+,26
Heather Kipling,female,46-55,1
Dennis Barksdale,male,46-55,1
Joseph Miller,male,46-55,1
Teresa Doty,female,56-65,2
Margret Carlyon,female,36-45,2
Mamie Mcmahan,female,46-55,1
Janice Ewing,female,46-55,1
Stacie Hansen,female,36-45,3
James Murray,male,46-55,1
Elizabeth Robinson,female,46-55,1
Steven Curiel,male,56-65,3
Michael Lee,male,65+,1
Shayna Muzquiz,female,46-55,1
Robert Palmer,male,36-45,1
Geri Scoggins,female,36-45,4
Cassandra Herbert,female,46-55,3
Adrian Hamilton,male,65+,1
Marion Pawlak,female,65+,5
Melissa Baggett,female,56-65,3
Mary Suhr,female,46-55,2
Madeleine Johnson,female,56-65,2
Erma Cote,female,46-55,1
Samantha Rodrigues,female,56-65,1
Franklin Ortiz,male,46-55,1
Cathy Gillett,female,56-65,1
Sandra White,female,56-65,1
Joshua Beverly,male,46-55,5
Mario Smith,male,65+,1
Tara Watkins,female,65+,1
Louis Lafrance,male,56-65,10
Ollie Ruderman,female,46-55,2
Shawna Whitman,female,46-55,2
Rita Scott,female,65+,2
Linda Mcguire,female,56-65,3
Joe Mullins,male,46-55,2
William Mapp,male,36-45,1
Spencer Huffman,male,36-45,2
George Turner,male,65+,1
Paul Addleman,male,36-45,1
William Moore,male,56-65,3
Robert Shiroma,male,56-65,1
Eric Juarez,male,65+,1
Roger Gould,male,46-55,1
Michael Knowles,male,46-55,1
Jean Olds,female,46-55,1
Kristine Baber,female,56-65,1
John Blaise,male,36-45,1
Gary Marrero,male,46-55,1
Toby Phillips,male,46-55,1
Chad Busch,male,46-55,1
Phyllis Hard,female,65+,2
Gloria Causey,female,65+,1
Shirley Hamrick,female,46-55,2
Michael Swartz,male,36-45,2
Shannon Whitaker,female,46-55,1
Steven Barrow,male,56-65,1
Hae Barrett,female,36-45,1
Ian Green,male,46-55,1
David Wallace,male,46-55,1
Michael Fisk,male,56-65,1
Doris Chewning,female,46-55,3
Sharon Carl,female,46-55,2
Charles Beasley,male,46-55,1
Ruth Davis,female,56-65,1
Virginia Herbert,female,36-45,1
Connie Lowery,female,56-65,9
Amy Davis,female,46-55,1
Alesia Countryman,female,56-65,1
Julie Hyland,female,46-55,1
Justin Christenson,male,65+,1
Elizabeth Murray,female,46-55,1
Alan Mancuso,male,65+,1
Carrie Peterson,female,46-55,1
Thomas Martinez,male,65+,1
Mary Pearson,female,46-55,2
William Nichelson,male,36-45,1
Lloyd Resner,male,46-55,3
Jason Langdon,male,46-55,1
Jaime Wynn,male,36-45,1
Jamie Richardson,female,56-65,4
Georgette Meador,female,46-55,1
Timothy Clayton,male,36-45,1
Frankie Hadley,female,56-65,1
Eric Martin,male,46-55,2
Rose Williams,female,46-55,1
Alison Ellis,female,36-45,1
Scot Depue,male,46-55,1
Leslie Kettner,male,36-45,1
Cammie Gunn,female,56-65,1
Brian Thompson,male,46-55,1
Emilia Perine,female,46-55,1
Michael Shimizu,male,36-45,1
Matilda Barker,female,36-45,1
Fred Bradley,male,46-55,1
Lewis Daigle,male,65+,1
Lauren Middleton,female,36-45,1
Theodore Lindstrom,male,56-65,3
Michael Smith,male,36-45,2
Michael White,male,36-45,1
Julianne Dickerson,female,36-45,1
Jack Smith,male,56-65,1
Shawn Stelmack,male,65+,1
James Utter,male,46-55,1
David Loughner,male,46-55,1
Hiram Hanna,male,46-55,1
Bridget Headrick,female,46-55,1
David Brown,male,46-55,1
Frank Wise,male,36-45,2
Thomas Adolphson,male,46-55,1
Kimberly Noto,female,65+,1
Donald Jones,male,56-65,5
June Houston,female,46-55,1
Bruce Wyatt,male,56-65,1
Willie Hart,male,56-65,1
Catherine Liles,female,56-65,1
Keisha Houseworth,female,46-55,1
Dean Hernandez,male,46-55,1
Patricia Mckinsey,female,36-45,1
Willis Villar,male,56-65,1
Amber Palmer,female,46-55,1
Francis Hack,male,26-35,1
Jan Nelson,female,36-45,1
Beulah Barnett,female,46-55,1
Mandy Gorenberg,female,36-45,1
Gwendolyn Buchanan,female,56-65,1
Kent Brown,male,46-55,1
Ernest Titcomb,male,46-55,1
Andrea Anderson,female,65+,1
Micheal Daniels,male,65+,1
Randy Jacobson,male,65+,2
Geraldine Dejardin,female,56-65,2
Miriam Parrott,female,36-45,4
Donald Cooley,male,46-55,1
Sarah Garcia,female,65+,1
Michael Erickson,male,65+,96
Robin Grier,female,36-45,1
Roxanna Price,female,65+,1
Jane Simmons,female,36-45,1
Phillip Cohen,male,46-55,1
Frances Mendez,female,56-65,2
Maria Massey,female,56-65,1
Margie Johnston,female,46-55,1
Samuel Garner,male,46-55,15
Heidi Henderson,female,46-55,1
Leanne Booth,female,46-55,2
Louise Morey,female,36-45,2
Kurt Smith,male,56-65,1
Greg Sandoval,male,46-55,2
Robbie Jones,male,46-55,1
Aaron Campbell,male,65+,1
Carl Acosta,male,36-45,2
George Lee,male,65+,1
Robert Watson,male,65+,1
Angela Swain,female,46-55,1
Susan Huddleston,female,56-65,1
Jesus Skora,male,46-55,1
Jacqueline Light,female,46-55,1
Beverly Martin,female,46-55,2
Pauline Moore,female,46-55,1
Katherine Greenler,female,65+,2
Ryan Arvan,male,56-65,1
Emma Henry,female,46-55,1
Robert Will,male,56-65,1
Robert Moland,male,36-45,1
Matthew Alfred,male,65+,3
Ronald Davis,male,65+,1
Robert Cummings,male,65+,1
James Staubin,male,36-45,1
David Valenzuela,male,46-55,1
Brian Banda,male,65+,1
Allison Fisher,female,46-55,1
Jennifer Kratky,female,36-45,1
David Muzii,male,56-65,1
Pedro Larson,male,36-45,5
Annette Smith,female,46-55,13
Barbara Kampa,female,36-45,1
Ada Warr,female,46-55,1
Richard Parker,male,46-55,3
Patricia Bailey,female,46-55,2
Mary Grett,female,65+,1
Carrie Smith,female,46-55,4
Craig Nero,male,46-55,1
Gina Ozuna,female,36-45,1
Victor Racine,male,56-65,3
Kathleen Williams,female,36-45,1
Marsha Phillis,female,36-45,1
Richard Powell,male,65+,1
Dan Ankrom,male,65+,1
Lela Whitaker,female,46-55,2
Randy Ferreira,male,46-55,1
David Flaten,male,46-55,1
Lashonda Bullard,female,36-45,1
Corey Vanwingerden,male,56-65,3
Doris Otoole,female,65+,20
Crystal Markle,female,46-55,2
Jeanette Rowe,female,65+,1
Cindy Shaw,female,36-45,1
Cynthia Black,female,46-55,1
Anna Barron,female,46-55,1
James Carter,male,56-65,1
Ralph Person,male,36-45,2
Deirdre Kimball,female,56-65,1
Anita Mersch,female,46-55,2
Joel Lewis,male,36-45,2
Danielle Prater,female,36-45,2
Nicholas Noriega,male,46-55,1
Leticia Turner,female,46-55,2
Rebecca Isom,female,18-25,1
Josie Crane,female,46-55,1
Norman Ortiz,male,65+,1
Kimberly Mckelvy,female,46-55,1
Jorge Luthy,male,56-65,1
Shirley Wisse,female,46-55,1
Patrica Eagan,female,26-35,2
Hilda Lutz,female,46-55,1
Jessica Patton,female,56-65,1
Keith Ellison,male,26-35,4
Blanca Weissman,female,46-55,1
Mark Dorris,male,46-55,1
Mary Baudoin,female,46-55,2
Michael Cuadrado,male,46-55,1
Billy Lamanna,male,36-45,3
Amber Morris,female,46-55,1
Fred Hensler,male,18-25,1
Karen Neally,female,46-55,1
Christine Berger,female,46-55,1
Shirley Taylor,female,46-55,1
Joseph Todd,male,56-65,1
Lucinda Belton,female,46-55,12
Crystal Mccombs,female,46-55,1
Gonzalo Garrison,male,36-45,1
Barbara Jackson,female,46-55,1
Kimberly Mortensen,female,36-45,2
Karin Brennan,female,65+,1
Daisy Roller,female,46-55,1
Patricia Edwards,female,46-55,6
Tom Marguez,male,65+,1
Albert Seta,male,56-65,1
Elina Ridenour,female,36-45,1
Charles Ohara,male,56-65,1
Alexandra Vuong,female,56-65,1
Charles Adamczak,male,36-45,8
David Boyd,male,56-65,3
Norman Lourentzos,female,46-55,1
Darren Barraza,male,56-65,1
Albert Davis,male,46-55,1
Mary Bennett,female,46-55,2
Walter Renn,male,56-65,1
Tiffany Moore,female,65+,1
Michael Chambley,male,65+,1
David Poucher,male,56-65,1
Susan Southern,female,46-55,1
Frances Cornett,female,56-65,3
Jacqueline Parra,female,46-55,7
Christopher Moran,male,46-55,1
David Flahive,male,65+,1
Elijah Arnold,male,36-45,1
Alfredo Simpson,male,46-55,1
Christian Miles,male,46-55,1
James Lindsey,male,56-65,1
Linda Hobson,female,46-55,1
David Liles,male,46-55,2
Amy Martinez,female,65+,1
Paulette Willmann,female,46-55,7
Sheila Castellucci,female,56-65,1
Edward Bess,male,65+,1
Andrea Horne,female,36-45,1
Reinaldo Rose,male,46-55,1
Anastasia Amelung,female,46-55,1
Charlotte Zemlicka,female,46-55,2
Jane Tallman,female,46-55,2
David Bonn,male,56-65,2
Shavonne Stoltzfus,female,46-55,1
Rafael Chambers,male,56-65,1
Mary Johnson,female,46-55,1
Robert Saine,male,56-65,20
Billy Kutzner,male,46-55,1
Justin Callahan,male,36-45,2
Toby Christenberry,male,65+,1
Jeffrey Smith,male,36-45,1
Darlene Schultz,female,46-55,1
Charles Vogt,male,36-45,1
Nina Caruso,female,56-65,1
Connie Gibson,female,36-45,1
Fred Desbiens,male,56-65,1
Mark Estes,male,18-25,1
Patrick Clark,male,65+,1
Mary Cunningham,female,36-45,1
Sue Rybowiak,female,46-55,9
Naomi Roy,female,56-65,10
Ella Muhammad,female,46-55,3
Franklin Moody,male,56-65,1
Fred Taylor,male,65+,1
Eric Keith,male,65+,3
Debra Mastrangelo,female,56-65,1
Gabrielle Martinez,female,65+,1
Angela Behn,female,36-45,1
Joyce Murphy,female,46-55,1
Luz Coram,female,46-55,1
Jana Clark,female,36-45,6
Lisa Strout,female,56-65,1
Elena Bowers,female,56-65,1
George Giddins,male,65+,2
Hilda Douglas,female,56-65,1
Sonja Balensiefen,female,65+,2
Douglas George,male,46-55,3
Matthew Vereen,male,65+,1
Teresa Rutland,female,56-65,11
Joan Nugent,female,36-45,1
Tamara Mann,female,65+,1
Sammie Barreto,male,56-65,1
Brenda Welke,female,46-55,1
Stanley Starnes,male,46-55,1
Thomas Ketron,male,46-55,1
Megan Myers,female,46-55,3
Paulina Collins,female,36-45,1
Jonathan Jaimes,male,56-65,1
David Labriola,male,46-55,1
David Dipietro,male,56-65,1
Sandra Smith,female,26-35,5
Louise Stoehr,female,56-65,1
Ralph Guynn,male,56-65,1
Cleveland Rodeheaver,male,56-65,1
Tina Shinault,female,36-45,1
Mary Young,female,56-65,2
Otis Wilkins,male,36-45,1
Maria Lopez,female,56-65,1
Micheal Ridge,male,36-45,1
George King,male,46-55,1
Jessica Aguinaga,female,56-65,1
John Walker,male,65+,1
Wanda Gross,female,36-45,2
Williemae Bailey,female,56-65,1
Kathleen Sheeran,female,56-65,6
Minnie Gregory,female,36-45,1
Deon Noy,male,36-45,1
Dorothy Ha,female,56-65,4
Levi Garrison,male,46-55,1
Ross Mastin,male,56-65,1
Elijah Halloran,male,36-45,2
John Hoffmann,male,46-55,2
Paul Arkell,male,56-65,2
Timothy Smith,male,36-45,2
Debra Johnson,female,36-45,1
Keith Westmoreland,male,46-55,1
Dawn Hagar,female,46-55,1
John Glenn,male,46-55,1
Leslie Smith,male,36-45,2
Alexander Moose,male,46-55,1
Kimberly Frost,female,36-45,1
Steven Skalicky,male,46-55,1
Leah Smith,female,46-55,1
Wayne Avila,male,56-65,7
William Jordan,male,46-55,41
Gary Maleski,male,36-45,1
Juana Gambill,female,36-45,1
Carla Sprague,female,46-55,1
Rafael Ross,male,56-65,1
Kenneth King,male,65+,1
George Dickerson,male,65+,1
David Fewell,male,36-45,1
Kevin Boone,male,46-55,1
Erin Queal,female,56-65,1
Amy Gaul,female,46-55,1
David Welch,male,36-45,1
Henry Tesoriero,male,46-55,1
Mario Dudley,male,46-55,1
Robert Mccarthy,male,46-55,2
Hector Brown,male,46-55,1
Minnie Birch,female,56-65,2
Dave Bartley,male,46-55,1
Maria Roszel,female,56-65,1
Jackson Kapinos,male,56-65,1
Robert Harris,male,56-65,1
Harry Mizutani,male,56-65,1
Cathy Baker,female,36-45,1
Marlene Rodriguez,female,46-55,1
Lynda Summerfield,female,65+,1
Doris Berry,female,46-55,6
Francis Shaw,male,56-65,2
Jodi Burton,female,65+,1
Jason Newman,male,46-55,1
Cathy Campbell,female,46-55,6
Neal Garrett,male,56-65,2
William Garcia,male,46-55,1
Tiffany Lewter,female,46-55,2
Joseph Sommer,male,46-55,1
Daniel Williams,male,65+,1
Christopher Jimenez,male,46-55,1
Karen Lerma,female,46-55,1
Sue Kohler,female,46-55,11
Ronald Vernon,male,26-35,1
Eric Radigan,male,56-65,1
Michael Barron,male,65+,1
Christopher Atkins,male,46-55,1
Timothy Perez,male,46-55,1
Agatha Wells,female,56-65,1
Mark Jacobs,male,46-55,1
Sherman Levin,male,46-55,2
Mark Testa,male,46-55,2
James Stuer,male,46-55,1
Ray Harris,male,46-55,1
Henry Mcvey,male,46-55,1
Kasie Orms,female,46-55,1
Shirley Thompson,female,56-65,1
Suzanne Hutto,female,65+,1
Michael Garcia,male,65+,1
Marc Goodman,male,46-55,1
Mark Perry,male,65+,1
Johnny Sullivan,male,36-45,1
Helen Weaver,female,65+,1
Christopher Burchett,male,65+,1
Wendy Ramos,female,36-45,1
Melissa Barrows,female,46-55,1
Anthony Lowery,male,56-65,1
Elizabeth Dupont,female,56-65,1
Robert Thomas,male,56-65,1
Edward Craig,male,56-65,2
Deena Rosselle,female,46-55,1
Teressa Corning,female,65+,1
Jose Wood,male,36-45,1
Linda Fowler,female,46-55,1
Marco Blevins,male,36-45,1
Ellen Hill,female,65+,2
Mary Bennett,female,36-45,1
Beverly Gonzalez,female,56-65,1
Jacqueline Coffey,female,46-55,2
Leon Padgett,male,56-65,1
Sara Martinez,female,65+,1
Craig Swinford,male,46-55,3
Jennifer Letarte,female,56-65,8
Matthew Ruble,male,65+,1
Lincoln Betzer,male,65+,1
Douglas Fowler,male,65+,1
Stella Slowe,female,26-35,1
David Greene,male,36-45,1
Thomas Mcbroom,male,36-45,1
Dennis Batista,male,65+,1
James Kobayashi,male,46-55,2
Daniel Waibel,male,46-55,1
Victoria Ring,female,46-55,1
Emilie Wolfram,female,46-55,1
Raymond Snow,male,65+,1
